Longitude,Latitude,Target,Aspect,Curvature,Rainfall_Pentad,River_dist_mts,Geology_Age,Geomorphology,Slope,Roads_dist_mts,Soil_type
78.3544,29.8196,0,5,3,282.8838501,73,12,3,3,16,6
78.4704,29.832,0,5,3,272.890686,8,12,3,3,18,2
78.4289,29.8911,0,2,3,279.4395447,46,8,3,3,8,6
78.433,29.8133,0,8,1,274.269043,32,12,3,3,23,6
78.343,29.8706,0,5,3,293.3571472,69,12,3,3,26,6
78.4725,29.868,0,3,3,271.7457581,8,8,3,3,11,2
78.3927,29.8766,0,5,3,287.427887,77,11,3,3,18,6
78.4082,29.8599,0,5,1,279.4395447,57,11,3,4,24,6
78.4524,29.8197,0,6,3,272.890686,8,12,3,4,32,6
78.4734,29.8661,0,3,1,271.7457581,0,8,3,4,18,6
78.3937,29.8696,0,7,3,287.427887,67,12,3,4,18,6
78.4281,29.9244,0,3,3,276.6868591,76,8,3,5,0,6
78.585731,29.875063,1,3,1,270.3831482,29,8,3,3,0,6
78.618283,29.810202,1,8,1,272.5525208,0,18,3,5,0,6
78.757772,29.874414,1,3,2,268.1714478,23,8,3,3,0,6
78.711093,29.849139,1,5,3,260.6399231,0,8,3,1,8,6
78.600763,29.844845,1,8,3,272.5525208,29,8,3,3,0,6
78.591181,29.873477,1,10,1,270.3831482,32,8,3,3,0,6
78.753533,29.871431,1,9,1,268.1714478,24,8,3,3,0,6
78.73962,29.810739,1,2,1,260.6399231,0,8,3,3,0,6
78.718338,29.824742,1,4,1,260.6399231,8,8,3,2,0,6
78.526817,29.82931,1,5,1,283.5005493,32,19,3,2,0,6
78.595989,29.795449,1,4,1,267.0637207,0,12,3,4,0,6
78.716715,29.886802,1,8,3,259.1402588,11,18,3,3,0,6
78.707455,29.896437,1,7,1,259.1402588,8,8,3,2,0,6
78.768794,29.866424,1,3,1,268.1714478,26,8,3,3,0,2
78.54515,29.760406,1,4,1,272.1329041,0,12,3,1,0,6
78.598053,29.83434,1,7,3,275.0291138,18,8,3,3,0,2
78.706201,29.896822,1,8,3,259.1402588,0,8,3,2,8,6
78.562309,29.800087,1,7,1,275.0291138,16,12,3,2,8,6
78.556338,29.757124,1,4,1,267.0637207,11,12,3,2,8,6
78.753766,29.871733,1,9,1,268.1714478,24,8,3,3,0,6
78.706875,29.821964,1,4,3,260.6399231,18,8,7,2,0,6
78.725642,29.900673,1,4,2,259.2531433,0,8,3,3,0,2
78.630512,29.929802,1,6,3,254.399231,16,8,7,3,0,2
78.752357,29.792731,1,4,3,276.0031738,11,8,3,2,0,6
78.724534,29.843906,1,8,2,260.6399231,11,8,3,3,0,2
78.538402,29.919303,1,8,1,274.4909668,24,8,3,4,26,6
78.594795,29.788787,1,10,1,267.0637207,0,12,3,2,0,6
78.723117,29.862501,1,8,3,259.1402588,8,8,3,3,0,6
78.543805,29.822863,1,6,1,283.5005493,29,19,3,2,0,6
78.529297,29.794827,1,5,3,272.1329041,34,12,6,2,16,6
78.506237,29.900767,1,4,2,274.4909668,8,8,7,3,0,6
78.595345,29.86465,1,4,3,270.3831482,36,8,3,3,0,6
78.594946,29.789548,1,8,1,267.0637207,0,12,3,4,0,2
78.676243,29.790098,1,10,3,270.0474243,26,8,3,2,0,2
78.591088,29.927341,1,5,1,263.636261,18,8,7,3,18,2
78.765509,29.906896,1,6,1,263.0310059,8,8,3,3,0,2
78.608874,29.871857,1,3,1,268.3644104,36,8,7,3,8,2
78.713652,29.902383,1,2,2,259.2531433,8,8,3,3,0,6
78.550144,29.762116,1,10,1,267.0637207,8,12,3,3,0,6
78.711847,29.914095,1,4,3,259.2531433,0,8,3,2,0,2
78.722121,29.872021,1,6,2,259.1402588,11,8,3,2,0,6
78.5711,29.784641,1,9,1,267.0637207,0,12,1,3,0,6
78.654361,29.91496,1,6,2,252.4997101,36,8,3,2,0,6
78.635017,29.909702,1,6,3,254.399231,29,8,7,3,0,6
78.514025,29.874453,1,6,1,276.1272583,8,8,3,3,0,6
78.596622,29.794958,1,6,1,267.0637207,0,12,1,1,0,6
78.537939,29.823662,1,6,1,283.5005493,36,19,3,2,0,6
78.620333,29.923148,1,7,1,254.399231,11,8,7,3,0,2
78.705068,29.820046,1,8,1,260.6399231,18,8,7,2,0,6
78.769464,29.866313,1,2,3,268.1714478,26,8,3,3,0,2
78.609862,29.814589,1,7,1,272.5525208,8,8,3,4,0,6
78.618338,29.918965,1,9,1,254.399231,8,8,7,3,0,6
78.58604,29.864947,1,3,3,270.3831482,23,8,3,4,0,6
78.513504,29.923554,1,4,1,274.4909668,0,8,3,4,0,6
78.752,29.792,1,5,1,276.0031738,11,8,3,2,0,6
78.681199,29.829043,1,4,3,269.6557007,34,8,7,4,0,6
78.62807,29.794885,1,3,1,264.4629211,18,19,3,1,0,6
78.59856,29.795217,1,9,3,267.0637207,0,12,3,3,0,6
78.542017,29.822439,1,6,3,283.5005493,29,19,3,2,0,6
78.762751,29.900853,1,7,1,263.0310059,8,8,3,4,0,2
78.753783,29.799533,1,6,1,276.0031738,16,8,3,3,0,6
78.709797,29.824616,1,7,1,260.6399231,11,8,3,2,0,6
78.598895,29.808045,1,3,3,275.0291138,0,19,3,2,0,2
78.599093,29.863296,1,4,3,270.3831482,36,8,3,3,0,6
78.722552,29.845208,1,6,1,260.6399231,8,8,3,2,0,2
78.710764,29.848671,1,3,1,260.6399231,0,8,3,3,8,6
78.576231,29.807844,1,2,1,275.0291138,18,12,3,2,0,6
78.613518,29.808347,1,6,3,272.5525208,0,18,1,2,0,2
78.587204,29.872211,1,6,3,270.3831482,32,8,3,3,0,6
